position_index,direction,hal_ref_bits,hal_ref_state,threshold_pulse,hal_new_bits,hal_new_state,attempts
1,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
2,1,"(0, 1, 0)",2,900,"(0, 0, 1)",0,4
3,1,"(0, 0, 1)",0,1000,"(0, 1, 1)",1,6
4,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3
5,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
6,1,"(1, 0, 1)",5,750,"(0, 1, 1)",1,1
7,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3
8,1,"(0, 1, 0)",2,900,"(0, 0, 1)",0,4
9,1,"(0, 0, 1)",0,1000,"(0, 1, 1)",1,6
10,1,"(0, 1, 1)",1,850,"(1, 0, 0)",4,3
11,1,"(1, 0, 0)",4,900,"(0, 1, 0)",2,4
12,1,"(0, 1, 0)",2,900,"(0, 0, 1)",0,4
13,1,"(0, 0, 1)",0,1000,"(0, 1, 1)",1,6
14,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3
15,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
16,1,"(1, 0, 1)",5,750,"(0, 1, 1)",1,1
17,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3
18,1,"(0, 1, 0)",2,900,"(0, 0, 1)",0,4
19,1,"(0, 0, 1)",0,1000,"(0, 1, 1)",1,6
20,1,"(0, 1, 1)",1,850,"(1, 0, 0)",4,3
21,1,"(1, 0, 0)",4,900,"(0, 1, 0)",2,4
22,1,"(0, 1, 0)",2,900,"(0, 0, 1)",0,4
23,1,"(0, 0, 1)",0,1000,"(0, 1, 1)",1,6
24,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3
