position_index,direction,hal_ref_bits,hal_ref_state,threshold_pulse,hal_new_bits,hal_new_state,attempts,detent_type
1,1,"(0, 1, 0)",2,900,"(0, 0, 1)",0,4,
2,1,"(0, 0, 1)",0,1000,"(0, 1, 1)",1,6,
3,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3,
4,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4,
5,1,"(1, 0, 1)",5,750,"(0, 1, 1)",1,1,
6,1,"(0, 1, 1)",1,850,"(1, 0, 0)",4,3,
7,1,"(1, 0, 0)",4,900,"(0, 1, 1)",1,4,
8,1,"(0, 1, 1)",1,750,"(1, 1, 0)",3,1,
9,1,"(1, 1, 0)",3,950,"(1, 0, 0)",4,5,
10,1,"(1, 0, 0)",4,900,"(1, 0, 1)",5,4,
11,1,"(1, 0, 1)",5,850,"(0, 1, 1)",1,3,
12,1,"(0, 1, 1)",1,750,"(1, 1, 0)",3,1,
13,1,"(1, 1, 0)",3,950,"(1, 0, 0)",4,5,
14,1,"(1, 0, 0)",4,900,"(1, 0, 1)",5,4,
15,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3,
16,1,"(0, 1, 0)",2,900,"(1, 1, 0)",3,4,
17,1,"(1, 1, 0)",3,950,"(1, 0, 0)",4,5,
18,1,"(1, 0, 0)",4,900,"(1, 0, 1)",5,4,
19,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3,
20,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4,
21,1,"(1, 0, 1)",5,750,"(0, 1, 1)",1,1,
22,1,"(0, 1, 1)",1,850,"(1, 0, 0)",4,3,
23,1,"(1, 0, 0)",4,900,"(1, 0, 1)",5,4,
24,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3,
