position_index,direction,hal_ref_bits,hal_ref_state,threshold_pulse,hal_new_bits,hal_new_state,attempts
1,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
2,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
3,1,"(0, 1, 0)",2,1100,"(1, 0, 0)",4,8
4,1,"(1, 0, 0)",4,750,"(1, 1, 0)",3,1
5,1,"(1, 1, 0)",3,950,"(1, 0, 0)",4,5
6,1,"(1, 0, 0)",4,900,"(1, 0, 1)",5,4
7,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
8,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
9,1,"(1, 0, 1)",5,750,"(0, 1, 1)",1,1
10,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3
11,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
12,1,"(1, 0, 1)",5,850,"(0, 1, 1)",1,3
13,1,"(0, 1, 1)",1,750,"(1, 1, 0)",3,1
14,1,"(1, 1, 0)",3,950,"(1, 0, 0)",4,5
15,1,"(1, 0, 0)",4,900,"(1, 0, 1)",5,4
16,1,"(1, 0, 1)",5,850,"(0, 0, 1)",0,3
17,1,"(0, 0, 1)",0,1000,"(0, 1, 1)",1,6
18,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3
19,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
20,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
21,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
22,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
23,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
24,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
